Experiment,Epoch,Train_Loss,Val_Acc
ResNet-34 (No Scheduler),53,0.0012183451777040635,27.96402289452167
ResNet-34 (No Scheduler),54,0.0011230809193954843,27.745979831016626
ResNet-34 (No Scheduler),55,0.0012229703969079192,28.318342872717363
ResNet-34 (No Scheduler),56,0.0010832914591604925,27.96402289452167
ResNet-34 (No Scheduler),57,0.0011834881594910732,28.40010902153175
ResNet-34 (No Scheduler),58,0.0010428327495110748,27.9912782774598
ResNet-34 (No Scheduler),59,0.001125344241787072,28.2638321068411
ResNet-34 (No Scheduler),60,0.00109011654656016,27.909512128645407
ResNet-34 (No Scheduler),61,0.0009641605884889545,28.15481057508858
ResNet-34 (No Scheduler),62,0.0010380113601137924,28.12755519215045
ResNet-34 (No Scheduler),63,0.0009517328732687494,28.427364404469884
ResNet-34 (No Scheduler),64,0.0010104965621038624,28.10029980921232
ResNet-34 (No Scheduler),65,0.0009990052684493687,28.427364404469884
ResNet-34 (No Scheduler),66,0.0008820231679988944,28.23657672390297
ResNet-34 (No Scheduler),67,0.0009155344415415564,28.045789043336057
ResNet-34 (No Scheduler),68,0.0009221549328092647,28.318342872717363
ResNet-34 (No Scheduler),69,0.0009207884791185675,28.045789043336057
ResNet-34 (No Scheduler),70,0.0009242284038286332,27.582447533387842
ResNet-34 (No Scheduler),71,0.0009099866901321903,28.454619787408014
ResNet-34 (No Scheduler),72,0.000931956463382053,28.563641319160535
ResNet-34 (No Scheduler),73,0.0008398016600910088,28.2638321068411
ResNet-34 (No Scheduler),74,0.0008370185374666977,28.15481057508858
ResNet-34 (No Scheduler),75,0.0007498535423782533,28.12755519215045
ResNet-34 (No Scheduler),76,0.0008573736327335886,28.045789043336057
ResNet-34 (No Scheduler),77,0.0007688089547192921,28.12755519215045
ResNet-34 (No Scheduler),78,0.0008262294638173088,28.318342872717363
ResNet-34 (No Scheduler),79,0.0008380327315535396,28.045789043336057
ResNet-34 (No Scheduler),80,0.0007384397709519481,28.754428999727445
ResNet-34 (No Scheduler),81,0.000731566830781167,28.2638321068411
ResNet-34 (No Scheduler),82,0.0007347161803171849,28.07304442627419
ResNet-34 (No Scheduler),83,0.0007211364937298323,28.045789043336057
ResNet-34 (No Scheduler),84,0.0007367071814571871,28.12755519215045
ResNet-34 (No Scheduler),85,0.0007867670385167003,28.045789043336057
ResNet-34 (No Scheduler),86,0.0008422042891059233,27.882256745707277
ResNet-34 (No Scheduler),87,0.0007211337096321032,28.15481057508858
ResNet-34 (No Scheduler),88,0.0006965427107744566,28.29108748977923
ResNet-34 (No Scheduler),89,0.0007195273776153993,27.855001362769148
ResNet-34 (No Scheduler),90,0.0007183154705790398,28.20932134096484
ResNet-34 (No Scheduler),91,0.0007212458509931583,27.936767511583536
