Experiment,Epoch,Train_Loss,Val_Acc
ResNet-34 (No Scheduler),54,0.0011230809193954,27.745979831016623
ResNet-34 (No Scheduler),55,0.0012229703969079,28.318342872717363
ResNet-34 (No Scheduler),56,0.0010832914591604,27.96402289452167
ResNet-34 (No Scheduler),57,0.001183488159491,28.40010902153175
ResNet-34 (No Scheduler),58,0.001042832749511,27.9912782774598
ResNet-34 (No Scheduler),59,0.001125344241787,28.2638321068411
ResNet-34 (No Scheduler),60,0.0010901165465601,27.909512128645407
ResNet-34 (No Scheduler),61,0.0009641605884889,28.15481057508858
ResNet-34 (No Scheduler),62,0.0010380113601137,28.12755519215045
ResNet-34 (No Scheduler),63,0.0009517328732687,28.427364404469884
ResNet-34 (No Scheduler),64,0.0010104965621038,28.10029980921232
ResNet-34 (No Scheduler),65,0.0009990052684493,28.427364404469884
ResNet-34 (No Scheduler),66,0.0008820231679988,28.23657672390297
ResNet-34 (No Scheduler),67,0.0009155344415415,28.045789043336057
ResNet-34 (No Scheduler),68,0.0009221549328092,28.318342872717363
ResNet-34 (No Scheduler),69,0.0009207884791185,28.045789043336057
ResNet-34 (No Scheduler),70,0.0009242284038286,27.58244753338784
ResNet-34 (No Scheduler),71,0.0009099866901321,28.454619787408014
ResNet-34 (No Scheduler),72,0.000931956463382,28.56364131916053
ResNet-34 (No Scheduler),73,0.000839801660091,28.2638321068411
ResNet-34 (No Scheduler),74,0.0008370185374666,28.15481057508858
ResNet-34 (No Scheduler),75,0.0007498535423782,28.12755519215045
ResNet-34 (No Scheduler),76,0.0008573736327335,28.045789043336057
ResNet-34 (No Scheduler),77,0.0007688089547192,28.12755519215045
ResNet-34 (No Scheduler),78,0.0008262294638173,28.318342872717363
ResNet-34 (No Scheduler),79,0.0008380327315535,28.045789043336057
ResNet-34 (No Scheduler),80,0.0007384397709519,28.754428999727445
ResNet-34 (No Scheduler),81,0.0007315668307811,28.2638321068411
ResNet-34 (No Scheduler),82,0.0007347161803171,28.07304442627419
